,start,end,rsp_sex,rsp_age,fcs_staples,fcs_pulses,fcs_dairy,fcs_proteins,fcs_flesh_meat,fcs_organ_meat,fcs_fish,fcs_eggs,fcs_veg,fcs_orange_veg,fcs_green_veg,fcs_fruits,fcs_orange_fruit,fcs_fats,fcs_sugars,fcs_condiments,rcsi_meal_adult,rcsi_meal_size,rcsi_meal_nb,rcsi_no_eat
132,2021-05-12T10:56:25.123-06:00,2021-05-12T11:29:20.274-06:00,1,39,7,7,7,7,0,0,0,7,2,2,2,2,2,7,5,7,0,0,0,0
133,2021-05-12T13:13:45.171-06:00,2021-05-12T13:56:11.164-06:00,1,45,7,7,7,7,4,0,0,7,3,1,0,3,0,7,7,7,0,0,0,0
134,2021-05-12T09:37:46.034-06:00,2021-05-12T10:56:12.714-06:00,2,45,7,7,5,7,6,0,1,7,7,1,7,7,7,7,7,7,0,0,0,0
135,2021-05-12T13:41:54.067-05:00,2021-05-12T14:27:02.985-05:00,1,61,2,7,4,5,3,0,1,4,7,0,2,7,7,7,0,7,0,0,0,0
136,2021-05-12T10:04:41.080-05:00,2021-05-12T14:27:34.955-05:00,1,57,7,7,7,6,5,2,4,6,7,0,7,7,7,7,0,7,0,0,0,0
137,2021-05-12T09:30:01.691-06:00,2021-05-12T10:16:33.404-06:00,1,82,7,7,7,6,3,2,1,6,5,2,2,5,5,7,7,7,0,0,0,0
138,2021-05-12T10:16:46.202-06:00,2021-05-12T13:57:57.968-06:00,1,27,7,7,7,4,3,0,2,4,5,3,5,6,6,7,7,7,0,0,0,0
139,2021-05-12T13:08:17.462-06:00,2021-05-12T13:29:56.683-06:00,1,47,7,7,7,4,1,0,1,4,7,7,7,7,7,7,7,7,0,0,0,0
140,2021-05-12T11:19:26.062-06:00,2021-05-12T11:47:15.204-06:00,1,50,7,7,2,3,2,0,2,0,1,0,0,5,2,6,5,0,2,2,0,0
141,2021-05-12T10:54:24.699-06:00,2021-05-12T11:17:09.102-06:00,1,64,7,7,0,1,1,0,0,0,6,2,2,4,2,6,6,1,0,0,0,0
142,2021-05-12T09:38:37.688-06:00,2021-05-12T10:22:34.016-06:00,1,62,7,6,6,4,1,1,0,4,2,1,2,2,2,7,2,2,0,0,0,0
143,2021-05-12T11:12:56.445-06:00,2021-05-12T11:41:07.816-06:00,1,69,4,0,5,3,3,0,0,3,5,2,2,5,2,7,7,7,0,0,0,0
144,2021-05-12T09:47:52.410-06:00,2021-05-12T10:30:59.218-06:00,1,49,3,1,0,4,0,0,0,4,3,3,0,0,0,7,7,7,0,0,0,0
145,2021-05-07T10:26:17.995-06:00,2021-05-07T10:57:27.900-06:00,1,58,7,7,1,1,1,0,0,1,1,1,1,0,0,1,5,7,1,1,7,2
146,2021-05-07T09:50:38.829-06:00,2021-05-07T10:16:03.093-06:00,1,48,7,3,0,1,0,1,0,1,1,1,1,2,0,3,7,7,0,0,0,0
147,2021-05-07T09:32:46.154-06:00,2021-05-07T09:50:33.582-06:00,1,64,7,7,0,1,1,1,0,1,1,0,1,1,1,2,7,7,0,0,2,0
148,2021-05-07T09:03:37.299-06:00,2021-05-07T09:27:58.997-06:00,1,28,7,2,0,1,1,1,0,1,2,1,1,1,1,2,7,7,1,1,3,0
149,2021-05-07T08:05:00.194-06:00,2021-05-07T08:55:52.004-06:00,1,39,7,7,2,1,0,0,0,1,2,2,2,2,1,3,7,7,1,0,0,1
150,2021-05-07T11:26:11.180-06:00,2021-05-07T12:20:27.164-06:00,2,65,7,7,2,5,1,0,0,5,2,1,2,4,2,7,7,7,2,4,0,0
151,2021-05-07T09:32:56.702-06:00,2021-05-07T10:25:20.623-06:00,1,35,7,7,3,4,2,0,0,4,3,1,2,3,2,7,7,5,3,2,0,0
152,2021-05-07T08:34:35.105-06:00,2021-05-07T09:31:30.550-06:00,1,33,7,6,2,5,1,0,0,4,1,0,1,2,1,7,7,7,0,5,4,0
153,2021-05-07T10:05:57.433-06:00,2021-05-07T12:42:02.842-06:00,1,58,7,7,7,7,1,1,1,7,3,1,1,7,7,7,7,7,0,0,0,0
154,2021-05-07T09:29:45.795-06:00,2021-05-07T12:43:23.575-06:00,1,55,7,7,7,7,1,0,0,7,1,1,1,7,7,7,7,7,0,0,0,0
